Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,1,1,Which curriculum did you take?,,Yes,Multiple Choice (single Select),Bangladeshi General Education Curriculum,,
,,,,,,,Bangladeshi Madrasah Curriculum,,
,1,1,What grades are you submitting part of this form?,"Submit school grades only if you haven't taken the national senior exam. If you are submitting school marks, submit grades from your most recent term/senior school report card.",Yes,Multiple Choice (single Select),Higher Secondary Certificate (HSC) Examination,Yes,
,,,,,,,Alim Examination,,
,,,,,,,High School Grades,,2
,1,1,Select your area of specialization/stream,,Yes,Multiple Choice (single Select),Business/Commerce,,
,,,,,,,Humanities/Arts,,
,,,,,,,Science,,
,,,,,,,Other (please specify...),,
,2,1,Select your score for Bangla,,Yes,Multiple Choice (single Select),5,,
,,,,,,,4,,
,,,,,,,3,,
,,,,,,,2,,
,,,,,,,1,,
,2,2,Select your score for English,,Yes,Multiple Choice (single Select),,,
,2,3,Select your score for Information & Computer Technology,,Yes,Multiple Choice (single Select),,,
,2,5, Select your first elective/islamic subject,,Yes,Multiple Choice (single Select),Physics,,
,,,,,,,Chemistry,,
,,,,,,,Biology,,
,,,,,,,Higher Math,,
,,,,,,,Statistics,,
,,,,,,,"Finance, Banking and Insurance",,
,,,,,,,Business Organization and Management,,
,,,,,,,Accounting,,
,,,,,,,Production Management and Marketing,,
,,,,,,,Economics,,
,,,,,,,Psychology,,
,,,,,,,Logic,,
,,,,,,,Sociology,,
,,,,,,,Social Work,,
,,,,,,,Geography,,
,,,,,,,Agricultural Education,,
,,,,,,,Studies of Islam,,
,,,,,,,Home Science,,
,,,,,,,The Quran Mazid,,
,,,,,,,Hadish Sharif and Usulul Hadish,,
,,,,,,,Fikah and Usselay Fikah,,
,,,,,,,Arabic,,
,2,6,Select your grade for your first elective/islamic subject,,Yes,Multiple Choice (single Select),,,
,2,7, Select your second elective/islamic subject in your stream.,,Yes,Multiple Choice (single Select),,,
,2,8,Select your grade for your second elective/islamic,,Yes,Multiple Choice (single Select),,,
,2,9, Select your third elective/islamic subject.,,Yes,Multiple Choice (single Select),,,
,2,10,Select your grade for your third elective/islamic subject.,,Yes,Multiple Choice (single Select),,,
,2,11,Select your last elective/islamic subject.,,Yes,Multiple Choice (single Select),,,
,2,12,Select your grade for your last elective/islamic subject,,Yes,Multiple Choice (single Select),,,
,3,1,If you are submitting another subject select here,Skip if you don't have another subject,No,Multiple Choice (single Select),,,
,3,2,Select your score for the subject you selected above,,No,Multiple Choice (single Select),,,
,3,3,If you are submitting another subject select here,Skip if you don't have another subject,No,Multiple Choice (single Select),,,
,3,4,Select your score for the subject you selected above,,No,Multiple Choice (single Select),,,
,3,5,If you are submitting another subject select here,Skip if you don't have another subject,No,Multiple Choice (single Select),,,
,3,6,Select your score for the subject you selected above,,No,Multiple Choice (single Select),,,
,4,1,What is your High School or HSC Exam Aggregate?,Enter exactly as it appears on your result/report,Yes,Text Field (short),,,
