Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,1,1,Which high school system/curriculum did you go through?,"If you're still in high school, select the one you're enrolled in.",Yes,Multiple Choice (single Select),Ensino Médio,,
,,,,,,,Novo Ensino Médio,,
,1,2,How did you acquire your high school qualification?,"If you haven't yet, select for how you will.",Yes,Multiple Choice (single Select),Through a Secondary High School,,
,,,,,,,Through the Exame Nacional para Certificação de Competências de Jovens e Adultos (ENCCEJA),,
,1,3,What high school qualification/s do you have?,"If you don't yet, select for when you do.",Yes,Multiple Choice (single Select),Certificate of Completion of Secondary Education (Certificado de Conclusão do Ensino Médio),,
,,,,,,,Technical Secondary Certificate (Título de Técnico/Técnico de Nível Médio),,
,,,,,,,Combined Certificate (Certificado de Conclusão do Ensino Médio & Título de Técnico/Técnico de Nível Médio),,
,1,4,What grades are you submitting part of this form?,"If you're submitting grades from a partial report card, submit the most recent one.",Yes,Multiple Choice (single Select),Final Senior School Grades,Yes,2
,,,,,,,Grades on Partial Report Card,,
,,,,,,,ENCCEJA Grades,,6
,1,5,How many subjects are you submitting?,,Yes,Multiple Choice (single Select),1 - 50,,
,2,1,Select your Area of Specialization/Specialized Training Itineraries (itinerários formativos).,"Select ""all"" if you graduated before the implementation of the new high school program or if your school does not do specilizations.",Yes,Multiple Choice (single Select),Languages and Related Technologies (linguagens e suas tecnologias),,
,,,,,,,Mathematics and Technologies (matemática e suas tecnologias),,
,,,,,,,Natural Sciences and Technologies (ciências da natureza e suas tecnologias),,
,,,,,,,Applied Social Sciences and Humanities (ciências humanas e sociais aplicadas),,
,,,,,,,All,,
,3,1,How many core subjects are you submitting?,Insert total number of core subjects shown on your transcript/report card,Yes,Text Field (short),,,
,3,2,Select your first subject,Select for how subjects are shown on your transcript,Yes,Multiple Choice (single Select),Portuguese,,
,,,,,,,Portuguese Grammatics,,
,,,,,,,Portuguese Essay,,
,,,,,,,Brazilian Literature,,
,,,,,,,Portuguese Literature,,
,,,,,,,Portuguese Language & Literature,,
,,,,,,,Mathematices,,
,,,,,,,Algebra,,
,,,,,,,Geometry,,
,,,,,,,Trigonometrics,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,History/Government,,
,,,,,,,History/Social Studies,,
,,,,,,,Physics,,
,,,,,,,Chemistry,,
,,,,,,, Biology,,
,,,,,,,Brazilian History & Culture,,
,,,,,,,Technology,,
,,,,,,,Arts,,
,,,,,,,Music,,
,,,,,,,Visual and Performing Arts,,
,,,,,,,Physical Education,,
,,,,,,,Health,,
,,,,,,,Philosophy,,
,,,,,,,Sociology,,
,,,,,,,Foreign Language,,
,,,,,,,Spanish,,
,,,,,,,English,,
,,,,,,,French,,
,,,,,,,Other (type in exactly as it appears on your document),,
,3,3,Select your score for your first subject,,Yes,Multiple Choice (single Select),1,,
,,,,,,,2,,
,,,,,,,3,,
,,,,,,,4,,
,,,,,,,5,,
,,,,,,,6,,
,,,,,,,7,,
,,,,,,,8,,
,,,,,,,9,,
,,,,,,,10,,
,3,4,Select your second subject,,Yes,Multiple Choice (single Select),,,
,3,5,Select your score for your second subject,,Yes,Multiple Choice (single Select),,,
,3,6,Select your third subject,,Yes,Multiple Choice (single Select),,,
,3,7,Select your score for your third subject,,Yes,Multiple Choice (single Select),,,
,3,8,Select your fourth subject,,Yes,Multiple Choice (single Select),,,
,3,9,Select your score for your fourth subject,,Yes,Multiple Choice (single Select),,,
,3,10,Select your fifth subject,,Yes,Multiple Choice (single Select),,,
,3,11,Select your score for your fifth subject,,Yes,Multiple Choice (single Select),,,
,3,12,Select your sixth subject,,No,Multiple Choice (single Select),,,
,3,13,Select your score for your sixth subject,,No,Multiple Choice (single Select),,,
,3,14,Select your seventh subject,,No,Multiple Choice (single Select),,,
,3,15,Select your score for your seventh subject,,No,Multiple Choice (single Select),,,
,3,16,Select your eighth subject,,No,Multiple Choice (single Select),,,
,3,17,Select your score for your eighth subject,,No,Multiple Choice (single Select),,,
