Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,1,1,Please choose the option that best describes you.,,Yes,Multiple Choice (single Select),,,
,,,,,,,I have completed secondary school but not yet started university.,,
,,,,,,,I am currently in Grade 12,,
,,,,,,,I am currently in Grade 11,,
,,,,,,,I am currently in Grade 10 or below,,
,2,2,I sit for the  Certificate of Completion of Upper Secondary School Studies (CCUSS) or diplom payane tahseelat-e motevaseth in: ,"If you have already received your results, please select the first option",Yes,Multiple Choice (single Select),,,
,,,,,,,I have already sat for this exam and have received my results,3,
,,,,,,,2023,4,
,,,,,,,2024,4,
,,,,,,,2025 or later,3,
,3,3,Please share your overall Grade Point Average (GPA) on the CCUSS,Please write the score out of 20,Yes,Text Field (short),,,
,4,4,Please write your overall GPA for your most recent semester,Please write the score out of 20,Yes,Text Field (short),,,
