Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,1,1,Which curriculum do/did you take?,,Yes,Multiple Choice (single Select),Nigeria Senior Secondary Education Curriculum (SSEC),,
,1,2,"What stream/department are/were you in?
",,Yes,Multiple Choice (single Select),Science,,
,,,,,,,Art/Humanities,,
,,,,,,,Business/Commerce,,
,,,,,,,Combined: Art/Humanities & Business/Commerce,,
,1,3,What grades are you submitting part of this form?,"Only submit school grades if you haven't taken a national senior exam. If you are submitting school marks, submit grades from your most recent term/senior school report card.",Yes,Dropdown (multipe select),Senior WASSCE,Yes,1
,,,,,,,Senior WASSCE GCE,,1
,,,,,,,NECO SSCE Internal,,1
,,,,,,,NECO SSCE External,,1
,,,,,,,High School Grades,,2
,1,4,Are you submitting/ will you submit a combined result?,,Yes,Multiple Choice (single Select),Yes,,
,,,,,,,No,,
,2,1,How many subjects are you submitting?,"If you are submitting national senior exam marks (wassce/neco), select for only the subjects you passed.",Yes,Multiple Choice (single Select),5,,
,,,,,,,6,,
,,,,,,,7,,
,,,,,,,8,,
,,,,,,,9,,
,,,,,,,10,,
,,,,,,,11,,
,,,,,,,12,,
,,,,,,,13,,
,2,2,Indicate your score for English Language.,,Yes,Multiple Choice (single Select),A1,,
,,,,,,,B2,,
,,,,,,,B3,,
,,,,,,,C4,,
,,,,,,,C5,,
,,,,,,,C6,,
,,,,,,,0 - 100,,
,2,3,Indicate your score for Mathematics.,,Yes,Multiple Choice (single Select),A1,,
,,,,,,,B2,,
,,,,,,,B3,,
,,,,,,,C4,,
,,,,,,,C5,,
,,,,,,,C6,,
,,,,,,,0 - 100,,
,2,4,What is your third subject?,,Yes,Multiple Choice (single Select),English Language,,
,,,,,,,"General Mathematics",,
,,,,,,,"Further Mathematics",,
,,,,,,,"Civic Education",,
,,,,,,,"Economics",,
,,,,,,,"Physics

",,
,,,,,,,Biology,,
,,,,,,,Chemistry,,
,,,,,,,Geography,,
,,,,,,,"Yorùbá Language
",,
,,,,,,,Igbo Language,,
,,,,,,,Hausa Language,,
,,,,,,,Technical Drawing,,
,,,,,,,Literature in English,,
,,,,,,,Government,,
,,,,,,,History,,
,,,,,,,Christian Religious Studies/CRS,,
,,,,,,,Islamic Religious Studies/IRS,,
,,,,,,,Agricultural science,,
,,,,,,,Arabic Studies,,
,,,,,,,French ,,
,,,,,,,"Music
",,
,,,,,,,Commerce,,
,,,,,,,Marketing,,
,,,,,,,Financial Accounting,,
,,,,,,,Office Practice,,
,,,,,,,Book Keeping,,
,,,,,,,Computer Studies,,
,,,,,,,Data Science,,
,,,,,,,Data Processing,,
,,,,,,,Home Management,,
,,,,,,,Store Management,,
,,,,,,,Physical Education,,
,,,,,,,Auto Mechanics,,
,,,,,,,"Woodwork
",,
,,,,,,,Health Education,,
,,,,,,,Foods and Nutrition,,
,,,,,,,Auto Body Repair and Spray Painting,,
,,,,,,,Auto Electrical Work,,
,,,,,,,Auto Mechanical Work,,
,,,,,,,Air Conditioning and Refrigeration,,
,,,,,,,"Welding and Fabrication, Engineering Craft Practice",,
,,,,,,,Electrical Installation & Maintenance Work,,
,,,,,,,"Radio, Television and Electronics Work",,
,,,,,,,"Blocklaying, Bricklaying and Concrete Work",,
,,,,,,,Painting and Decoration,,
,,,,,,,Plumbing and Pipe Fitting,,
,,,,,,,Machine Woodworking,,
,,,,,,,"Carpentry and Joinery

",,
,,,,,,,Furniture Making,,
,,,,,,,Upholstery,,
,,,,,,,Catering Craft Practice,,
,,,,,,,Garment Making,,
,,,,,,,Clothing and Textiles,,
,,,,,,,Dyeing and Bleaching,,
,,,,,,,Printing Craft Practice,,
,,,,,,,Cosmetology,,
,,,,,,,Photography,,
,,,,,,,"Leather Goods, Manufacturing and Repair",,
,,,,,,,GSM Maintenance and Repairs,,
,,,,,,,Animal Husbandry ALT A,,
,,,,,,,Animal Husbandry ALT B,,
,,,,,,,Insurance,,
,,,,,,,Electronics,,
,,,,,,,Basic Electricity,,
,,,,,,,Forestry,,
,,,,,,,Short Hand,,
,,,,,,,"Auto Parts

",,
,,,,,,,Auto Body Repairs,,
,,,,,,,Efik,,
,,,,,,,Ibibio,,
,,,,,,,Edo,,
,,,,,,,Type Writing,,
,,,,,,,West African Traditional Religion,,
,,,,,,,Fisheries ALT B,,
,,,,,,,Tourism,,
,,,,,,,Word Work,,
,,,,,,,Ceramics,,
,,,,,,,Textiles,,
,,,,,,,Information and Communications Technology/ICT Core,,
,,,,,,,General Knowledge in Art,,
,,,,,,,Clerical Office Duties,,
,,,,,,,Building Constructions,,
,2,5,Select your score in your third subject selected above.,,Yes,Multiple Choice (single Select),A1,,
,,,,,,,B2,,
,,,,,,,B3,,
