Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,1,1,Please choose the option that best describes you.,,Yes,Multiple Choice (single Select),,,
,,,,,,,I have completed secondary school but not yet started university.,,
,,,,,,,I am currently in Grade 12,,
,,,,,,,I am currently in Grade 11,,
,,,,,,,I am currently in Grade 10 or below,,
,1,2,Please select your academic concentration,"If you do not have a concentration, please select the first option",Yes,Multiple Choice (single Select),,,
,,,,,,,I do not have an academic concentration,,
,,,,,,,fen bilimleri (natural sciences),,
,,,,,,,yabancı dil (foreign language),,
,,,,,,,sanat (art),,
,,,,,,,sosyal bilimler (social sciences),,
,,,,,,,spor (physical education),,
,,,,,,,Türkçe-matematik (Turkish-mathematics),,
,2,3,I sit for the Lise Diplomasi in:,"If you have already received your results, please select the first option",Yes,Multiple Choice (single Select),,,
,,,,,,,I have already sat for this exam and have received my results,,
,,,,,,,2023,,
,,,,,,,2024,,
,,,,,,,2025 or later,,
,3,4,Please share your overall Grade Point Average (GPA) on the Lise Diplomasi,Please write the score out of 5 or 100%,Yes,Text Field (short),,,
,3,5,Please write your overall grade for your most recent semester,Please write the score out of 5 or 100 ,Yes,Text Field (short),,,
