Curriculum,Screen,Order,Question,Help,Required,Type,Responses,Branch,Destination
,1,1,When will you be taking your secondary school leaving examination (Thi Tốt Nghiệp Phổ Thông Trung Học)?,"If you have already sat for the exam, please select the year you sat for the exam",Yes,Multiple Choice (single Select),,Yes,
,,,,,,,2021,,2
,,,,,,,2022,,2
,,,,,,,2023,,12
,,,,,,,2024,,12
,,,,,,,2025 or later,,0
,2,2,What was your final combined score for the secondary school leaving examination?,,Yes,Text Field (short),,,
,2,3,What is the maximum possible score for this exam?,,Yes,Text Field (short),,,
,2,4,Please share your score for Mathematics out of 10 ,Please enter the exact score,Yes,Text Field (short),,,
,2,5,Please share your score for Literature out of 10 ,Please enter the exact score,Yes,Text Field (short),,,
,2,6,Please share your score for Foreign Language out of 10 ,Please enter the exact score,Yes,Text Field (short),,,
,2,7,Please select the name of  Foreign Language you studied ,,Yes,Multiple Choice (single Select),,,
,,,,,,,Chinese,,
,,,,,,,English,,
,,,,,,,French,,
,,,,,,,German,,
,,,,,,,Japanese,,
,,,,,,,Korean,,
,,,,,,,Russian,,
,2,8,Please select the title of the combination exam you took ,"If you did not take a combination exam, please select the last option",Yes,Multiple Choice (single Select),,,
,,,,,,,"Natural Sciences (Physics, Chemistry, Biology)",,
,,,,,,,"Social Sceinces (History, Geography, Civic Education)",,
,2,9,Please share your final score for the combination exam out of 10,,Yes,Text Field (short),,,
,2,10,"If you have taken a second combination exam, please select the title of the exam you took ","If you did not take a second combination exam, you may skip this question ",No,Multiple Choice (single Select),,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,2,11,Please share your final score for your second combination exam out of 10,"If you did not take a second combination exam, you may skip this question ",No,Text Field (short),,,
,3,12,Please enter your most recent end-of-semester average score out of 10. ,"For example, if you are have your final end of year results, share that score. If not, share your score for your most recent semester.",Yes,Text Field (short),,,
,3,13,Please select your first subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
,,,,,,,Physics,,
,,,,,,,Biology,,
,,,,,,,Sports and Military Education,,
,,,,,,,Technology,,
,,,,,,,Vietnamese Language,,
,,,,,,,Other,,
,3,14,Please share your most recent end-of-semester result for your first subject out of 10,,No,Text Field (short),,,
,3,15,Please select your second subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
,,,,,,,Physics,,
,,,,,,,Biology,,
,,,,,,,Sports and Military Education,,
,,,,,,,Technology,,
,,,,,,,Vietnamese Language,,
,,,,,,,Other,,
,3,16,Please share your most recent end-of-semester  result for your second subject out of 10,,No,Text Field (short),,,
,3,17,Please select your third subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
,,,,,,,Physics,,
,,,,,,,Biology,,
,,,,,,,Sports and Military Education,,
,,,,,,,Technology,,
,,,,,,,Vietnamese Language,,
,,,,,,,Other,,
,3,18,Please share your most recent end-of-semester  result for your third subject out of 10,,No,Text Field (short),,,
,3,19,Please select your fourth subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
,,,,,,,Physics,,
,,,,,,,Biology,,
,,,,,,,Sports and Military Education,,
,,,,,,,Technology,,
,,,,,,,Vietnamese Language,,
,,,,,,,Other,,
,3,20,Please share your most recent end-of-semester  result for your fourth subject out of 10,,No,Text Field (short),,,
,3,21,Please select your fifth subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
,,,,,,,Physics,,
,,,,,,,Biology,,
,,,,,,,Sports and Military Education,,
,,,,,,,Technology,,
,,,,,,,Vietnamese Language,,
,,,,,,,Other,,
,3,22,Please share your most recent end-of-semester  result for your fifth subject out of 10,,No,Text Field (short),,,
,3,23,Please select your sixth subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
,,,,,,,Physics,,
,,,,,,,Biology,,
,,,,,,,Sports and Military Education,,
,,,,,,,Technology,,
,,,,,,,Vietnamese Language,,
,,,,,,,Other,,
,3,24,Please share your most recent end-of-semester  result for your sixth subject out of 10,,No,Text Field (short),,,
,3,25,Please select your seventh subject ,,No,Multiple Choice (single Select),,,
,,,,,,,Art,,
,,,,,,,Chemistry,,
,,,,,,,Civics Education,,
,,,,,,,Foreign Language: Chinese ,,
,,,,,,,Foreign Language: English ,,
,,,,,,,Foreign Language: French ,,
,,,,,,,Foreign Language: German  ,,
,,,,,,,Foreign Language: Japanese ,,
,,,,,,,Foreign Language: Russian ,,
,,,,,,,Foreign Language: Other ,,
,,,,,,,Geography,,
,,,,,,,History,,
,,,,,,,Informatics,,
,,,,,,,Literature,,
,,,,,,,Mathematics,,
,,,,,,,National Defense-Security Education,,
