curriculum_id,score_type,score,percentile,Band Low
5,1,1,1,8
5,1,2,1,8
5,1,3,1,8
5,1,4,1,8
5,1,5,1,8
5,1,6,1,8
5,1,7,1,8
5,1,8,1,8
5,1,9,1,8
5,1,10,1,8
5,1,11,1,8
5,1,12,1,8
5,1,13,2,8
5,1,14,2,8
5,1,15,2,8
5,1,16,2,8
5,1,17,3,8
5,1,18,4,8
5,1,19,5,8
5,1,20,6,8
5,1,21,7,8
5,1,22,8,8
5,1,23,10,8
5,1,24,13,8
5,1,25,16,8
5,1,26,19,8
5,1,27,24,8
5,1,28,27,8
5,1,29,31,8
5,1,30,37,8
5,1,31,42,7
5,1,32,48,7
5,1,33,55,6
5,1,34,59,6
5,1,35,65,6
5,1,36,70,5
5,1,37,76,5
5,1,38,80,4
5,1,39,84,4
5,1,40,88,3
5,1,41,91,3
5,1,42,94,3
5,1,43,97,2
5,1,44,99,2
5,1,45,99,1
5,2,1,1,8
5,2,2,1,8
5,2,3,1,8
5,2,4,1,8
5,2,5,1,8
5,2,6,1,8
5,2,7,1,8
5,2,8,1,8
5,2,9,1,8
5,2,10,1,8
5,2,11,1,8
5,2,12,1,8
5,2,13,2,8
5,2,14,2,8
5,2,15,2,8
5,2,16,2,8
5,2,17,3,8
5,2,18,5,8
5,2,19,6,8
5,2,20,7,8
5,2,21,8,8
5,2,22,10,8
5,2,23,13,8
5,2,24,16,8
5,2,25,19,8
5,2,26,24,8
5,2,27,27,8
5,2,28,37,8
5,2,29,42,7
5,2,30,48,7
5,2,31,55,7
5,2,32,59,7
5,2,33,65,6
5,2,34,70,5
5,2,35,76,5
5,2,36,80,4
5,2,37,88,4
5,2,38,91,3
5,2,39,94,3
5,2,40,97,2
5,2,41,99,2
5,2,42,99,1
5,3,1,1,8
5,3,2,1,8
5,3,3,1,8
5,3,4,1,8
5,3,5,1,8
5,3,6,1,8
5,3,7,1,8
5,3,8,1,8
5,3,9,1,8
5,3,10,1,8
5,3,11,1,8
5,3,12,1,8
5,3,13,2,8
5,3,14,2,8
5,3,15,2,8
5,3,16,2,8
5,3,17,3,8
5,3,18,5,8
5,3,19,6,8
5,3,20,7,8
5,3,21,8,8
5,3,22,10,8
